card_name,set_name,type,is_kingdom_card,cost,card_text,clean,in_supply,supply,clean_name,split_name,images
Peddler,Prosperity,Action,1,$8*,"+1 Card\n+1 Action\n+$1\dDuring your Buy phase, this costs $2 less per Action card you have in play, but not less than $0.",peddler,1,1,peddler,['peddler'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/peddler.jpg
Quarry,Prosperity,Treasure,1,$4,"Worth $1\dWhile this is in play, Action cards cost $2 less, but not less than $0.",quarry,1,1,quarry,['quarry'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/quarry.jpg
Rabble,Prosperity,Action-Attack,1,$5,"+3 Cards\nEach other player reveals the top 3 cards of his deck, discards the revealed Actions and Treasures, and puts the rest back on top in any order he chooses.",rabble,1,1,rabble,['rabble'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/rabble.jpg
Royal Seal,Prosperity,Treasure,1,$5,"Worth $2\dWhile this is in play, when you gain a card, you may put that card on top of your deck.",royal seal,1,1,royal seal,"['royal', 'seal']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/royal-seal.jpg
Talisman,Prosperity,Treasure,1,$4,"Worth $1\dWhile this is in play, when you buy a card costing $4 or less that is not a Victory card, gain a copy of it.",talisman,1,1,talisman,['talisman'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/talisman.jpg
Trade Route,Prosperity,Action,1,$3,"+1 Buy\n+$1 per token on the Trade Route mat.\nTrash a card from your hand.\dSetup: Put a token on each Victory card Supply pile. When a card is gained from that pile, move the token to the Trade Route mat.",trade route,1,1,trade route,"['trade', 'route']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/trade-route.jpg
Vault,Prosperity,Action,1,$5,"+2 Cards\nDiscard any number of cards. +$1 per card discarded. Each other player may discard 2 cards. If he does, he draws a card.",vault,1,1,vault,['vault'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/vault.jpg
Venture,Prosperity,Treasure,1,$5,"Worth $1\nWhen you play this, reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.",venture,1,1,venture,['venture'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/venture.jpg
Watchtower,Prosperity,Action-Reaction,1,$3,"Draw until you have 6 cards in hand.\dWhen you gain a card, you may reveal this from your hand. If you do, either trash that card, or put it on top of your deck.",watchtower,1,1,watchtower,['watchtower'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/prosperity/watchtower.jpg
Worker's Village,Prosperity,Action,1,$4,+1 Card\n+2 Actions\n+1 Buy,worker village,1,1,worker village,"['worker', 'village']",https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/worker%20village.jpg
Fairgrounds,Cornucopia,Victory,1,$6,Worth 2VP for every 5 differently named cards in your deck (round down).,fairgrounds,1,1,fairgrounds,['fairgrounds'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/fairgrounds.jpg
Farming Village,Cornucopia,Action,1,$4,+2 Actions\nReveal cards from the top of your deck until you reveal an Action or Treasure card. Put that card into your hand and discard the other cards.,farming village,1,1,farming village,"['farming', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/farming-village.jpg
Fortune Teller,Cornucopia,Action-Attack,1,$3,+$2\nEach other player reveals cards from the top of his deck until he reveals a Victory or Curse card. He puts it on top and discards the other revealed cards.,fortune teller,1,1,fortune teller,"['fortune', 'teller']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/fortune-teller.jpg
Hamlet,Cornucopia,Action,1,$2,"+1 Card\n+1 Action\nYou may discard a card; if you do, +1 Action.\nYou may discard a card; if you do, +1 Buy.",hamlet,1,1,hamlet,['hamlet'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/hamlet.jpg
Harvest,Cornucopia,Action,1,$5,"Reveal the top 4 cards of your deck, then discard them. +$1 per differently named card revealed.",harvest,1,1,harvest,['harvest'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/harvest.jpg
Horn of Plenty,Cornucopia,Treasure,1,$5,"Worth $0\nWhen you play this, gain a card costing up to $1 per differently named card you have in play, counting this. If it's a Victory card, trash this.",horn of plenty,1,1,horn of plenty,"['horn', 'of', 'plenty']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/horn-of-plenty.jpg
Horse Traders,Cornucopia,Action-Reaction,1,$4,"+1 Buy\n+$3\nDiscard 2 cards.\dWhen another player plays an Attack card, you may set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.",horse traders,1,1,horse traders,"['horse', 'traders']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/horse-traders.jpg
Hunting Party,Cornucopia,Action,1,$5,+1 Card\n+1 Action\nReveal your hand. Reveal cards from your deck until you reveal a card that isn't a duplicate of one in your hand. Put it into your hand and discard the rest.,hunting party,1,1,hunting party,"['hunting', 'party']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/hunting-party.jpg
Jester,Cornucopia,Action-Attack,1,$5,"+$2\nEach other player discards the top card of his deck. If it's a Victory card he gains a Curse. Otherwise either he gains a copy of the discarded card or you do, your choice.",jester,1,1,jester,['jester'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/jester.jpg
Menagerie,Cornucopia,Action,1,$3,"+1 Action\nReveal your hand. If there are no duplicate cards in it, +3 Cards. Otherwise, +1 Card.",menagerie,1,1,menagerie,['menagerie'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/menagerie.jpg
Remake,Cornucopia,Action,1,$4,"Do this twice: Trash a card from your hand, then gain a card costing exactly $1 more than the trashed card.",remake,1,1,remake,['remake'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/remake.jpg
Tournament,Cornucopia,Action,1,$4,"+1 Action\nEach player may reveal a Province from his hand.\nIf you do, discard it and gain a Prize (from the Prize pile) or a Duchy, putting it on top of your deck.\nIf no-one else does, +1 Card, +$1.",tournament,1,1,tournament,['tournament'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/tournament.jpg
Trusty Steed,Cornucopia,Action-Prize,1,$0*,Choose two: +2 Cards; or +2 Actions; or +$2; gain 4 Silvers and put your deck into your discard pile.,trusty steed,1,1,trusty steed,"['trusty', 'steed']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/trusty-steed.jpg
Young Witch,Cornucopia,Action-Attack,1,$4,"+2 Cards\nDiscard 2 cards. Each other player may reveal a Bane card from his hand. If he doesn't, he gains a Curse.\dSetup: Add an extra Kingdom card pile costing $2 or $3 to the Supply. Cards from that pile are Bane cards.",young witch,1,1,young witch,"['young', 'witch']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/cornucopia/young-witch.jpg
Border Village,Hinterlands,Action,1,$6,"+1 Card\n+2 Actions\dWhen you gain this, gain a card costing less than this.",border village,1,1,border village,"['border', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/border-village.jpg
Cache,Hinterlands,Treasure,1,$5,"Worth $3\dWhen you gain this, gain two Coppers.",cache,1,1,cache,['cache'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/cache.jpg
Cartographer,Hinterlands,Action,1,$5,+1 Card\n+1 Action\nLook at the top 4 cards of your deck. Discard any number of them. Put the rest back on top in any order.,cartographer,1,1,cartographer,['cartographer'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/cartographer.jpg
Crossroads,Hinterlands,Action,1,$2,"Reveal your hand.\n+1 Card per Victory card revealed. If this is the first time you played a Crossroads this turn, +3 Actions.",crossroads,1,1,crossroads,['crossroads'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/crossroads.jpg
Develop,Hinterlands,Action,1,$3,"Trash a card from your hand.\nGain a card costing exactly $1 more than it and a card costing exactly $1 less than it, in either order, putting them on top of your deck.",develop,1,1,develop,['develop'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/develop.jpg
Duchess,Hinterlands,Action,1,$2,"+$2\nEach player (including you) looks at the top card of his deck, and discards it or puts it back.\dIn games using this, when you gain a Duchy, you may gain a Duchess.",duchess,1,1,duchess,['duchess'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/duchess.jpg
Embassy,Hinterlands,Action,1,$5,"+5 Cards\nDiscard 3 cards.\dWhen you gain this, each other player gains a Silver.",embassy,1,1,embassy,['embassy'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/embassy.jpg
Farmland,Hinterlands,Victory,1,$6,"Worth 2VP\dWhen you buy this, trash a card from your hand. Gain a card costing exactly $2 more than the trashed card.",farmland,1,1,farmland,['farmland'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/farmland.jpg
Fool's Gold,Hinterlands,Treasure-Reaction,1,$2,"If this is the first time you played a Fool's Gold this turn, this is worth $1, otherwise it's worth $4.\dWhen another player gains a Province, you may trash this from your hand. If you do, gain a Gold, putting it on your deck.",fool gold,1,1,fool gold,"['fool', 'gold']",https://raw.githubusercontent.com/NoahChristiansen/extra-dominion-cards/main/card_images/fool%20gold.jpg
Haggler,Hinterlands,Action,1,$5,"+$2\dWhile this is in play, when you buy a card, gain a card costing less than it that is not a Victory card.",haggler,1,1,haggler,"['haggle', 'barter']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/haggler.jpg
Highway,Hinterlands,Action,1,$5,"+1 Card\n+1 Action\dWhile this is in play, cards cost $1 less, but not less than $0.",highway,1,1,highway,['highway'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/highway.jpg
Ill-Gotten Gains,Hinterlands,Treasure,1,$5,"Worth $1\nWhen you play this, you may gain a Copper, putting it into your hand.\dWhen you gain this, each other player gains a Curse.",ill-gotten gains,1,1,ill gotten gains,"['ill', 'gotten', 'gains']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/ill-gotten-gains.jpg
Inn,Hinterlands,Action,1,$5,"+2 Cards\n+2 Actions\nDiscard 2 cards.\dWhen you gain this, look through your discard pile (including this), reveal any number of Action cards from it, and shuffle them into your deck.",inn,1,1,inn,['inn'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/inn.jpg
Jack of All Trades,Hinterlands,Action,1,$4,Gain a Silver.\nLook at the top card of your deck; discard it or put it back.\nDraw until you have 5 cards in hand.\nYou may trash a card from your hand that is not a Treasure.,jack of all trades,1,1,jack of all trades,"['jack', 'of', 'all', 'trades']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/jack-of-all-trades.jpg
Mandarin,Hinterlands,Action,1,$5,"+$3\nPut a card from your hand on top of your deck.\dWhen you gain this, put all Treasures you have in play on top of your deck in any order.",mandarin,1,1,mandarin,['mandarin'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/mandarin.jpg
Margrave,Hinterlands,Action-Attack,1,$5,"+3 Cards\n+1 Buy\nEach other player draws a card, then discards down to 3 cards in hand.",margrave,1,1,margrave,['margrave'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/margrave.jpg
Noble Brigand,Hinterlands,Action-Attack,1,$4,"+$1\nWhen you buy this or play it, each other player reveals the top 2 cards of his deck, trashes a revealed Silver or Gold you choose, and discards the rest. If he didn't reveal a Treasure, he gains a Copper. You gain the trashed cards.",noble brigand,1,1,noble brigand,"['noble', 'brigand']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/noble-brigand.jpg
Nomad Camp,Hinterlands,Action,1,$4,"+1 Buy\n+$2\dWhen you gain this, put it on top of your deck.",nomad camp,1,1,nomad camp,"['nomad', 'camp']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/nomad-camp.jpg
Oasis,Hinterlands,Action,1,$3,+1 Card\n+1 Action\n+$1\nDiscard a card.,oasis,1,1,oasis,['oasis'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/oasis.jpg
Oracle,Hinterlands,Action-Attack,1,$3,"Each player (including you) reveals the top 2 cards of his deck, and you choose one: either he discards them, or he puts them back on top in an order he chooses.\n+2 Cards",oracle,1,1,oracle,['oracle'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/oracle.jpg
Scheme,Hinterlands,Action,1,$3,"+1 Card\n+1 Action\nAt the start of Clean-up this turn, you may choose an Action card you have in play. If you discard it from play this turn, put it on your deck.",scheme,1,1,scheme,['scheme'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/scheme.jpg
Silk Road,Hinterlands,Victory,1,$4,Worth 1VP for every 4 Victory cards in your deck (round down).,silk road,1,1,silk road,"['silk', 'road']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/silk-road.jpg
Spice Merchant,Hinterlands,Action,1,$4,"You may trash a Treasure from your hand. If you do, choose one:\n+2 Cards and +1 Action;\nor +$2 and +1 Buy.",spice merchant,1,1,spice merchant,"['spice', 'merchant']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/spice-merchant.jpg
Stables,Hinterlands,Action,1,$5,"You may discard a Treasure. If you do, +3 Cards and +1 Action.",stables,1,1,stables,['stables'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/stables.jpg
Trader,Hinterlands,Action-Reaction,1,$4,"Trash a card from your hand. Gain a number of Silvers equal to its cost in coins.\dWhen you would gain a card, you may reveal this from your hand. If you do, instead, gain a silver.",trader,1,1,trader,['trader'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/trader.jpg
Tunnel,Hinterlands,Victory-Reaction,1,$3,"Worth 2VP\dWhen you discard this other than during a Clean-up phase, you may reveal it. If you do, gain a Gold.",tunnel,1,1,tunnel,['tunnel'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/hinterlands/tunnel.jpg
Abandoned Mine,Dark Ages,Action-Ruins,1,$0,$1 ,abandoned mine,1,1,abandoned mine,"['abandoned', 'mine']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/abandoned-mine.jpg
Altar,Dark Ages,Action,1,$6,Trash a card from your hand. Gain a card costing up to $5.,altar,1,1,altar,['altar'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/altar.jpg
Armory,Dark Ages,Action,1,$4,Gain a card costing up to $4. Put it on top of your deck.,armory,1,1,armory,['armory'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/armory.jpg
Band of Misfits,Dark Ages,Action,1,$5,Play this as if it were an Action card in the Supply costing less than it that you choose.\nThis is that card until it leaves play.,band of misfits,1,1,band of misfits,"['band', 'of', 'misfits']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/band-of-misfits.jpg
Bandit Camp,Dark Ages,Action,1,$5,+1 Card\n+2 Actions\nGain a Spoils from the Spoils pile.,bandit camp,1,1,bandit camp,"['bandit', 'camp']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/bandit-camp.jpg
Beggar,Dark Ages,Action-Reaction,1,$2,"Gain 3 Coppers, putting them into your hand.\dWhen another player plays an Attack card, you may discard this. If you do, gain two Silvers, putting one on top of your deck.",beggar,1,1,beggar,['beggar'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/beggar.jpg
Catacombs,Dark Ages,Action,1,$5,"Look at the top 3 cards of your deck. Choose one: Put them into your hand; or discard them and +3 Cards.\dWhen you trash this, gain a cheaper card.",catacombs,1,1,catacombs,['catacombs'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/catacombs.jpg
Count,Dark Ages,Action,1,$5,Choose one: Discard 2 cards; put a card from your hand on top of your deck; or gain a Copper.\nChoose one: +$3; trash your hand; or gain a Duchy.,count,1,1,count,['count'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/count.jpg
Counterfeit,Dark Ages,Treasure,1,$5,"Worth $1\n+1 Buy\nWhen you play this, you may play a treasure from your hand twice. If you do, trash that treasure.",counterfeit,1,1,counterfeit,['counterfeit'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/counterfeit.jpg
Cultist,Dark Ages,Action-Attack-Looter,1,$5,"+2 Cards\nEach other player gains a Ruins. You may play a Cultist from your hand.\dWhen you trash this, +3 Cards.",cultist,1,1,cultist,['cultist'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/cultist.jpg
Dame Anna,Dark Ages,Action-Attack-Knight,1,$5,"You may trash up to 2 cards from your hand.\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",dame anna,1,1,dame anna,"['dame', 'anna']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/dame-anna.jpg
Dame Josephine,Dark Ages,Action-Attack-Knight-Victory,1,$5,"Worth 2VP\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",dame josephine,1,1,dame josephine,"['dame', 'josephine']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/dame-josephine.jpg
Dame Molly,Dark Ages,Action-Attack-Knight,1,$5,"+2 Actions.\nEach other player discards the top 2 cards of his deck, and trashes one of them costing from $3 to $6. If a Knight is trashed by this, trash this card.",dame molly,1,1,dame molly,"['dame', 'molly']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/dame-molly.jpg
Dame Natalie,Dark Ages,Action-Attack-Knight,1,$5,"You may gain a card costing up to $3.\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",dame natalie,1,1,dame natalie,"['dame', 'natalie']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/dame-natalie.jpg
Dame Sylvia,Dark Ages,Action-Attack-Knight,1,$5,"+$2\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",dame sylvia,1,1,dame sylvia,"['dame', 'sylvia']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/dame-sylvia.jpg
Death Cart,Dark Ages,Action-Looter,1,$4,"+$5\nYou may trash an Action card from your hand. If you don't, trash this.\dWhen you gain this, gain 2 Ruins.",death cart,1,1,death cart,"['death', 'cart']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/death-cart.jpg
Feodum,Dark Ages,Victory,1,$4,"Worth 1VP for every 3 Silvers in your deck.\dWhen you trash this, gain 3 Silvers.",feodum,1,1,feodum,"['feudal', 'estate']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/feodum.jpg
Forager,Dark Ages,Action,1,$3,+1 Action\n+1 Buy\nTrash a card from your hand. +$1 per differently named Treasure in the trash.,forager,1,1,forager,['forager'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/forager.jpg
Fortress,Dark Ages,Action,1,$4,"+1 Card\n+2 Actions\dWhen you trash this, put it into your hand.",fortress,1,1,fortress,['fortress'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/fortress.jpg
Graverobber,Dark Ages,Action,1,$5,"Choose one: Gain a card from the trash costing from $3 to $6, putting it on top of your deck; or trash an Action card from your hand and gain a card costing up to $3 more than it.",graverobber,1,1,graverobber,"['grave', 'robber']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/graverobber.jpg
Hermit,Dark Ages,Action,1,$3,"Look through your discard pile. You may trash a card from your discard pile or hand that is not a Treasure. Gain a card costing up to $3.\dWhen you discard this from play, if you didn't buy any cards this turn, trash this and gain a Madman from the Madman pile.",hermit,1,1,hermit,['hermit'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/hermit.jpg
Hovel,Dark Ages,Reaction-Shelter,1,$1,"When you buy a Victory card, you may trash this from your hand.",hovel,1,1,hovel,['hovel'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/hovel.jpg
Hunting Grounds,Dark Ages,Action,1,$6,"+4 Cards\dWhen you trash this, gain a Duchy or 3 Estates",hunting grounds,1,1,hunting grounds,"['hunting', 'grounds']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/hunting-grounds.jpg
Ironmonger,Dark Ages,Action,1,$4,"+1 Card\n+1 Action\nReveal the top card of your deck; you may discard it. Either way, if it is an...\nAction card, +1 Action\na Treasure card, +$1\na Victory card, +1 Card",ironmonger,1,1,ironmonger,['ironmonger'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/ironmonger.jpg
Junk Dealer,Dark Ages,Action,1,$5,+1 Card\n+1 Action\n+$1\nTrash a card from your hand.,junk dealer,1,1,junk dealer,"['junk', 'dealer']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/junk-dealer.jpg
Marauder,Dark Ages,Action-Attack-Looter,1,$4,Gain a Spoils from the Spoils pile. Each other player gains a Ruins.,marauder,1,1,marauder,['marauder'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/marauder.jpg
Market Square,Dark Ages,Action-Reaction,1,$3,"+1 Card\n+1 Action\n+1 Buy\dWhen one of your cards is trashed, you may discard this from your hand. If you do, gain a Gold.",market square,1,1,market square,"['market', 'square']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/market-square.jpg
Mystic,Dark Ages,Action,1,$5,"+1 Action\n+$2\nName a card.\nReveal the top card of your deck. If it's the named card, put it into your hand.",mystic,1,1,mystic,['mystic'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/mystic.jpg
Necropolis,Dark Ages,Action-Shelter,1,$1,+2 Actions,necropolis,1,1,necropolis,['necropolis'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/necropolis.jpg
Overgrown Estate,Dark Ages,Victory-Shelter,1,$1,"Worth 0 VP\dWhen you trash this, +1 Card.",overgrown estate,1,1,overgrown estate,"['overgrown', 'estate']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/overgrown-estate.jpg
Pillage,Dark Ages,Action-Attack,1,$5,Trash this. Each other player with 5 or more cards in hand reveals his hand and discards a card that you choose. Gain 2 Spoils.,pillage,1,1,pillage,['pillage'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/pillage.jpg
Poor House,Dark Ages,Action,1,$1,"+$4\nReveal your hand. -$1 per Treasure card in your hand, to a minimum of $0.",poor house,1,1,poor house,"['poor', 'house']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/poor-house.jpg
Procession,Dark Ages,Action,1,$4,You may play an Action card from your hand twice. Trash it. Gain an Action card costing exactly $1 more than it.,procession,1,1,procession,['procession'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/procession.jpg
Rats,Dark Ages,Action,1,$4,"+1 Card\n+1 Action\nGain a Rats. Trash a card from your hand other than a Rats (or reveal a hand of all Rats).\dWhen you trash this, +1 Card.",rats,1,1,rats,['rats'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/rats.jpg
Rebuild,Dark Ages,Action,1,$5,+1 Action\nName a card. Reveal cards from the top of your deck until you reveal a Victory card that is not the named card. Discard the other cards. Trash the Victory card and gain a Victory card costing up to $3 more than it.,rebuild,1,1,rebuild,['rebuild'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/rebuild.jpg
Rogue,Dark Ages,Action-Attack,1,$5,"+$2\nIf there are any cards in the trash costing from $3 to $6, gain one of them. Otherwise, each other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest.",rogue,1,1,rogue,['rogue'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/rogue.jpg
Ruined Library,Dark Ages,Action-Ruins,1,$0,+1 Card,ruined library,1,1,ruined library,"['ruined', 'library']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/ruined-library.jpg
Ruined Market,Dark Ages,Action-Ruins,1,$0,+1 Buy,ruined market,1,1,ruined market,"['ruined', 'market']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/ruined-market.jpg
Ruined Village,Dark Ages,Action-Ruins,1,$0,+1 Action,ruined village,1,1,ruined village,"['ruined', 'village']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/ruined-village.jpg
Sage,Dark Ages,Action,1,$3,+1 Action\nReveal cards from the top of your deck until you reveal one costing $3 or more. Put that card into your hand and discard the rest.,sage,1,1,sage,['sage'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/sage.jpg
Scavenger,Dark Ages,Action,1,$4,+$2\nYou may put your deck into your discard pile. Look through your discard pile and put one card from it on top of your deck.,scavenger,1,1,scavenger,['scavenger'],https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/scavenger.jpg
Sir Bailey,Dark Ages,Action-Attack-Knight,1,$5,"+1 Card\n+1 Action\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",sir bailey,1,1,sir bailey,"['sir', 'bailey']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/sir-bailey.jpg
Sir Destry,Dark Ages,Action-Attack-Knight,1,$5,"+2 Cards\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",sir destry,1,1,sir destry,"['sir', 'destry']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/sir-destry.jpg
Sir Martin,Dark Ages,Action-Attack-Knight,1,$4,"+2 Buys\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",sir martin,1,1,sir martin,"['sir', 'martin']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/sir-martin.jpg
Sir Michael,Dark Ages,Action-Attack-Knight,1,$5,"Each other player discards down to 3 cards in hand.\nEach other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.",sir michael,1,1,sir michael,"['sir', 'michael']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/sir-michael.jpg
Sir Vander,Dark Ages,Action-Attack-Knight,1,$5,"Each other player reveals the top 2 cards of his deck, trashes one of them costing from $3 to $6, and discards the rest. If a Knight is trashed by this, trash this card.\dWhen you trash this, gain a Gold.",sir vander,1,1,sir vander,"['sir', 'vander']",https://raw.githubusercontent.com/tempfillernamegithq/dominion-cards/master/dark-ages/sir-vander.jpg
